分類,牌子,貨品,惠康,百佳,Market Place,永旺,大昌食品,最後更新日期
蛋糕,嘉頓 Garden,孖寶蛋糕 - 櫻桃提子 75克, $ 8.20, $ 8.20, $ 8.20,--,--,2015-10-07
蛋糕,嘉頓 Garden,合桃蛋糕 100克,--, $ 8.20, $ 8.20,--,--,2015-10-07
蛋糕,嘉頓 Garden,雪芳蛋糕 - 朱古力味 60克, $ 6.80, $ 6.80, $ 6.80,--,--,2015-10-07
蛋糕,嘉頓 Garden,迷你瑞士卷 - 黑加侖子 56克, $ 7.40, $ 7.40, $ 7.40,--,--,2015-10-07
蛋糕,嘉頓 Garden,迷你瑞士卷 - 檸檬 56克, $ 7.40, $ 7.40, $ 7.40,--,--,2015-10-07
蛋糕,江戶 EDO Pack,朱古力批 (巧克力批) - 士多啤梨味 300克,--,--,--,--,$ 10.40,2015-10-07
蛋糕,江戶 EDO Pack,朱古力批 (巧克力批) 300克,--,$ 11.90,--,$ 10.90,$ 10.40,2015-10-07
蛋糕,樂天 Lotte,朱古力批 (10包) 280克,--,$ 12.90,--,--,--,2015-10-07
蛋糕,奧利安 Orion,Market O 布朗尼朱古力餅 4包裝 80克,--,$ 25.90,--,--,--,2015-10-07
蛋糕,義美 I-Mei,芝士蛋糕 200克,$ 28.90,--,--,--,--,2015-10-07
蛋糕,義美 I-Mei,蜂蜜蛋糕 200克,$ 28.90,--,--,--,--,2015-10-07
蛋糕,莎莉 Sara Lee,蛋糕 - 原味 All Butter All Purpose Pound Cake 300克, $ 33.90, $ 32.90, $ 33.90,--,--,2015-10-07
蛋糕,莎莉 Sara Lee,蛋糕 - 朱古力旋風 Chocolate Swirl Pound Cake 300克, $ 33.90, $ 32.90,--,--,--,2015-10-07
麵包,嘉頓 Garden,Better Sandwich Bread - 牛奶方飽 6片,$ 11.80,$ 11.80,$ 12.20,--,--,2015-10-07
麵包,嘉頓 Garden,Better Sandwich Bread - 幼麥方包 6片,$ 11.80,$ 11.80,$ 11.80,--,--,2015-10-07
麵包,嘉頓 Garden,切皮三文治方包 6片,$ 8.40,$ 8.40,$ 8.40,--,--,2015-10-07
麵包,嘉頓 Garden,切皮三文治方麥包 6片,$ 8.40,$ 8.40,$ 8.70,--,--,2015-10-07
麵包,嘉頓 Garden,高鈣方包 6片,--,$ 11.60,$ 11.60,--,--,2015-10-07
麵包,嘉頓 Garden,生命麵包 - 含蛋白質 14片,$ 12.30,$ 12.30,$ 12.30,--,--,2015-10-07
麵包,嘉頓 Garden,生命麵包 - 蜜糖雞蛋 14片,$ 12.30,$ 12.30,$ 12.30,--,--,2015-10-07
麵包,嘉頓 Garden,生命麵包 14片,$ 10.80,$ 10.80,$ 10.80,--,--,2015-10-07
麵包,嘉頓 Garden,純麥包 430克,$ 17.30,$ 17.30,$ 17.90,--,--,2015-10-07
麵包,嘉頓 Garden,方包 8片,$ 9.60,$ 9.60,$ 9.60,--,--,2015-10-07
麵包,嘉頓 Garden,軟方包 (切片) 18片,$ 17.50,$ 17.50,$ 17.50,--,--,2015-10-07
麵包,嘉頓 Garden,厚切方包 6片,$ 9.60,$ 9.60,$ 9.60,--,--,2015-10-07
麵包,嘉頓 Garden,方麥包 8片,$ 9.60,$ 9.60,$ 9.90,--,--,2015-10-07
麵包,羅馬 Roman Meal,12精選穀麥包 8片,$ 19.20,$ 19.20,$ 19.80,--,--,2015-10-07
麵包,嘉頓 Garden,小餐包 8個,--,$ 9.80,$ 9.80,--,--,2015-10-07
麵包,嘉頓 Garden,忌廉檳 - 花生味 1個,--, $ 6.20, $ 6.20,--,--,2015-10-07
麵包,嘉頓 Garden,忌廉檳 - 雲呢嗱味 1個,--, $ 6.20, $ 6.20,--,--,2015-10-07
麵包,嘉頓 Garden,漢堡包 4個,$ 9.90,$ 9.90,$ 9.90,--,--,2015-10-07
麵包,嘉頓 Garden,排包 210克,$ 10.40,$ 10.40,$ 10.40,--,--,2015-10-07
麵包,嘉頓 Garden,牛奶餐包 4個,$ 8.40,$ 9.80,$ 8.70,--,--,2015-10-07
麵包,嘉頓 Garden,提子包 4個,$ 9.40,$ 9.40,$ 9.40,--,--,2015-10-07
麵包,嘉頓 Garden,牛油軟包 4個,--,$ 10.00,$ 8.60,--,--,2015-10-07
麵包,嘉頓 Garden,甜餐包 4個,--,$ 7.70,$ 7.70,--,--,2015-10-07
麵包,嘉頓 Garden,法國牛角酥 4個,$ 16.00,$ 16.00,$ 16.50,--,--,2015-10-07
麵包,嘉頓 Garden,英式鬆餅 4個,$ 11.40,$ 11.40,$ 11.40,--,--,2015-10-07
穀類早餐,桂格 Quaker,即沖燕麥片 - 粟米味 175克 (35克 x 5),$ 15.90,$ 15.90,--,$ 15.90,--,2015-10-07
穀類早餐,桂格 Quaker,即沖燕麥片 - 原味 210克 (42克 x 5),$ 15.90,$ 15.90,$ 15.90,--,--,2015-10-07
穀類早餐,桂格 Quaker,即食燕麥片 - 袋裝 800克,$ 26.90,$ 26.90,$ 26.90,$ 26.90,--,2015-10-07
穀類早餐,桂格 Quaker,即食燕麥片 - 罐裝 800克,$ 28.90,$ 28.90,$ 28.90,--,--,2015-10-07
穀類早餐,桂格 Quaker,快熟燕麥片 - 袋裝 800克,$ 26.90,$ 26.90,$ 26.90,$ 26.90,--,2015-10-07
穀類早餐,桂格 Quaker,快熟燕麥片 - 罐裝 800克,$ 28.90,$ 28.90,$ 28.90,--,--,2015-10-07
穀類早餐,家樂氏 Kellogg's,原味玉米片 (粟米片) Classic Corn Flakes 170克,$ 17.90,$ 17.90,$ 17.90,$ 17.90,--,2015-10-07
穀類早餐,家樂氏 Kellogg's,原味玉米片 (粟米片) Classic Corn Flakes 340克,$ 29.50,$ 31.50,$ 30.40,--,--,2015-10-07
穀類早餐,家樂氏 Kellogg's,可可米 Coco Pops 275克,$ 20.90,$ 20.90,$ 21.60,--,--,2015-10-07
穀類早餐,家樂氏 Kellogg's,什錦果麥 Mueslix - 葡萄乾、杏仁果味 375克,--,$ 34.90,--,--,--,2015-10-07
穀類早餐,家樂氏 Kellogg's,香甜玉米片 (粟米片) Frosties 250克,$ 25.90,$ 25.90,$ 25.90,--,--,2015-10-07
穀類早餐,家樂氏 Kellogg's,Special K 香脆麥米片 - 士多啤梨 340克,$ 42.90,$ 42.90,$ 47.30,$ 45.90,--,2015-10-07
穀類早餐,家樂氏 Kellogg's,Special K 香脆麥米片 205克,--,$ 26.90,--,$ 26.90,--,2015-10-07
穀類早餐,家樂氏 Kellogg's,Special K 香脆麥米片 370克,$ 42.90,$ 42.90,$ 47.30,--,--,2015-10-07
穀類早餐,雀巢 Nestle,蜂蜜星星 Honey Stars 150克,$ 20.90,$ 20.90,$ 21.60,$ 17.90,--,2015-10-07
穀類早餐,雀巢 Nestle,可可脆片 Koko Krunch 170克,$ 20.90,$ 20.90,$ 21.60,$ 17.90,--,2015-10-07
穀類早餐,雀巢 Nestle,美祿 Milo 巧克力麥芽口味小麥穀類早餐球 170克,$ 20.90,$ 20.90,$ 21.60,--,--,2015-10-07
